row,is,becomes
452,5436,10.75
453,5437,2.333333333
454,5438,3.327586207
455,5439,4.55952381
456,5440,3.72972973
457,5441,4.322580645
458,5442,2.345454545
459,5443,3.8
460,5444,3.30952381
461,5445,2.510869565
462,5446,3.246031746
463,5447,2.23880597
464,5448,3.620689655
465,5449,4.535714286
466,5450,5.165137615
467,5451,4.172727273
468,5452,5.148648649
469,5453,5.454545455
470,5454,5.74
471,5455,12.80952381
472,5456,8.125
473,5457,3.511811024
474,5458,5.811320755
475,5459,7.220930233
476,5460,3.048543689
477,5461,2.298013245
478,5462,5.114649682
479,5463,9.320610687
480,5464,5.708333333
481,5465,19.41666667
482,5466,9
483,5467,8.545454545
484,5468,3.641509434
485,5469,3.903225806
486,5470,3.814814815
487,5471,4.704081633
488,5472,3.583333333
489,5473,4.275362319
490,5474,3.21641791
491,5475,6.310344828
492,5476,5.277108434
493,5477,3.304347826
494,5478,2.368686869
495,5479,3.02020202
496,5480,1.891472868
497,5481,1.819444444
498,5482,2.365591398
499,5483,6.863414634
500,5484,3.528846154
501,5485,3.557692308
502,5486,0.930769231
503,5487,2.767857143
504,5488,3.051724138
505,5489,3.980769231
506,5490,3.057971014
507,5491,4.955017301
508,5492,2.881355932
509,5493,2.984126984
510,5494,5.2
511,5495,3.128654971
512,5496,3.379746835
513,5497,2.764705882
514,5498,3.14516129
515,5499,4.973684211
516,5500,0.361774744
517,5501,1.9
518,5502,2.738095238
519,5503,3.218181818
520,5504,7.5
521,5505,2.93
522,5506,4.802588997
523,5507,1.790909091
524,5508,10.08571429
525,5509,3.237569061
526,5510,2.735294118
527,5511,3.71641791
528,5512,5.124401914
529,5513,2.641025641
530,5514,2.84375
531,5515,5.026315789
532,5516,11.83050847
533,5517,2.66835443
534,5518,2.663829787
535,5524,4.53164557
536,5525,1.777777778
537,5526,2.688888889
538,5527,4.623655914
539,5528,3.23655914
540,5529,3.706467662
541,5530,0.646067416
542,5531,2.392592593
543,5532,6.071661238
544,5533,2.36036036
545,5534,3.577464789
546,5535,3.867579909
547,5536,4.975845411
548,5537,6.04494382
549,5538,4.421052632
550,5539,4.430769231
551,5540,2.560386473
552,5541,3.983333333
553,5542,5.641304348
554,5543,3.605633803
555,5544,5.414285714
556,5545,5.457142857
557,5546,4.237569061
558,5547,4.893617021
559,5548,5.062893082
560,5549,2.768292683
561,5550,5.006289308
562,5551,4.008695652
563,5552,6.020408163
564,5553,4
565,5554,2.272727273
566,5555,4.597014925
567,5556,2.262711864
568,5557,3.475903614
569,5558,4.994117647
570,5559,6.08988764
571,5560,6.19205298
572,5561,3.447058824
573,5562,4.690140845
574,5563,3.905660377
575,5564,3.796153846
576,5565,4.525
577,5566,8.273239437
578,5567,5.238095238
579,5568,3.86407767
580,5569,3.340909091
581,5570,4.50295858
582,5571,5.075471698
583,5572,3.038461538
584,5573,5.913043478
585,5574,1.709558824
586,5575,4.245989305
587,5576,9.37628866
588,5577,4.67114094
589,5578,13.66666667
590,5579,6.639593909
591,5580,3.659574468
592,5581,4.846511628
593,5582,7.820652174
594,5583,3.616666667
595,5584,3.284263959
